name,location,visited
Acadia National Park,Maine,no
American Samoa National Park,American Samoa Territory,no
Arches National Park,Utah,no
Badlands National Park,South Dakota,no
Big Bend National Park,Texas,no
Biscayne National Park,Florida,no
Black Canyon of the Gunnison National Park,Colorado,no
Bryce Canyon National Park,Utah,no
Canyonlands National Park,Utah,no
Capitol Reef National Park,Utah,no
Carlsbad Caverns National Park,New Mexico,yes
Channel Islands National Park,California,no
Congaree National Park,South Carolina,no
Crater Lake National Park,Oregon,no
Cuyahoga Valley National Park,Ohio,no
Death Valley National Park,California and Nevada,no
Denali National Park,Alaska,no
Dry Tortugas National Park,Florida,no
Everglades National Park,Florida,no
Gates of the Arctic National Park,Alaska,no
Glacier National Park,Montana,no
Glacier Bay National Park,Alaska,no
Grand Canyon National Park,Arizona,no
Grand Teton National Park,Wyoming,no
Great Basin National Park,Nevada,no
Great Sand Dunes National Park,Colorado,no
Great Smoky Mountains National Park,North Carolina and Tennessee,no
Guadalupe Mountains National Park,Texas,no
Haleakala National Park,Hawaii,no
Hawaii Volcanoes National Park,Hawaii,no
Hot Springs National Park,Arkansas,yes
Isle Royale National Park,Michigan,no
Joshua Tree National Park,California,no
Katmai National Park,Alaska,no
Kenai Fjords National Park,Alaska,no
Kings Canyon National Park,California,no
Kobuk Valley National Park,Alaska,no
Lake Clark National Park,Alaska,no
Lassen Volcanic Park,California,no
Mammoth Cave Park,Kentucky,yes
Mesa Verde National Park,Colorado,no
Mount Rainier National Park,Washington,no
North Cascades National Park,Washington,no
Olympic National Park,Washington,no
Petrified Forest National Park,Arizona,yes
Redwood National Park,California,yes
Rocky Mountain National Park,Colorado,no
Saguaro National Park,Arizona,no
Sequoia National Park,California,no
Shenandoah National Park,Virginia,no
Theodore Roosevelt National Park,North Dakota,no
Virgin Islands National Park,U.S. Virgin Islands,no
Voyageurs National Park,Minnesota,no
Wind Cave National Park,South Dakota,no
Wrangell-St. Elias National Park,Alaska,no
Yellowstone National Park,Wyoming,no
Yosemite National Park,California,no
Zion National Park,Utah,no
