name,abbreviation,capital,visited
Alabama,AL,Montgomery,yes
Alaska,AK,Juneau,no
Arizona,AZ,Phoenix,yes
Arkansas,AR,Little Rock,yes
California,CA,Sacramento,yes
Colorado,CO,Denver,no
Connecticut,CT,Hartford,no
Delaware,DE,Dover,no
Florida,FL,Tallahassee,yes
Georgia,GA,Atlanta,yes
Hawaii,HI,Honolulu,no
Idaho,ID,Boise,no
Illinois,IL,Springfield,yes
Indiana,IN,Indianapolis,yes
Iowa,IA,Des Moines,no
Kansas,KS,Topeka,yes
Kentucky,KY,Frankfort,yes
Louisiana,LA,Baton Rouge,yes
Maine,ME,Augusta,no
Maryland,MD,Annapolis,no
Massachusetts,MA,Boston,no
Michigan,MI,Lansing,no
Minnesota,MN,St. Paul,no
Mississippi,MS,Jackson,no
Missouri,MO,Jefferson City,no
Montana,MT,Helena,no
Nebraska,NE,Lincoln,no
Nevada,NV,Carson City,no
New Hampshire,NH,Concord,no
New Jersey,NJ,Trenton,no
New Mexico,NM,Santa Fe,yes
New York,NY,Albany,yes
North Carolina,NC,Raleigh,no
North Dakota,ND,Bismarck,no
Ohio,OH,Columbus,no
Oklahoma,OK,Oklahoma City,yes
Oregon,OR,Salem,no
Pennsylvania,PA,Harrisburg,no
Rhode Island,RI,Providence,no
South Carolina,SC,Columbia,no
South Dakota,SD,Pierre,no
Tennessee,TN,Nashville,yes
Texas,TX,Austin,yes
Utah,UT,Salt Lake City,no
Vermont,VT,Montpelier,no
Virginia,VA,Richmond,no
Washington,WA,Olympia,no
West Virginia,WV,Charleston,no
Wisconsin,WI,Madison,no
Wyoming,WY,Cheyenne,no
